Age,Income,LoanAmount,CreditScore,EmploymentYears,Default
56,23408,92095,621,12,1
46,96210,41104,666,26,0
32,138904,88633,443,29,0
60,193678,54419,425,11,0
25,191926,46345,846,3,0
38,179645,14689,496,10,1
56,198040,97194,502,16,0
36,173457,84789,516,8,0
40,171919,53982,415,14,1
28,144443,73386,839,4,0
28,153492,74831,391,6,0
41,57147,74921,740,9,0
53,28806,86773,305,30,1
57,19257,78436,559,3,1
41,33696,40921,671,12,1
20,49763,63705,787,31,0
39,127467,94867,468,1,0
19,85531,37218,374,32,0
41,164198,7933,363,6,0
61,48923,57818,489,17,1
47,187425,17008,681,1,0
55,103867,94274,311,37,0
19,22202,71049,526,36,0
38,125138,67209,428,36,1
50,118121,41996,817,11,0
29,119133,40744,319,6,1
39,118519,94579,420,11,0
61,194881,96803,823,13,0
42,28341,10773,821,23,0
44,136625,78319,682,32,0
59,80410,75762,819,9,0
45,35640,99769,717,5,0
33,171977,92753,814,27,0
32,155910,21552,348,0,0
64,39275,29206,413,37,1
61,152411,48977,466,39,1
20,74999,98507,845,37,0
54,115689,28338,701,2,0
24,159521,30392,351,28,0
38,91565,77188,566,37,0
26,193622,56345,579,35,0
56,167885,20454,818,5,0
35,37659,69503,370,3,1
21,158140,67432,643,14,0
42,134602,90387,798,26,0
31,192543,85822,843,11,0
26,172952,48822,764,25,0
43,40847,36696,331,26,0
19,180127,56804,727,15,0
37,29802,91726,535,36,1
45,19944,67399,606,13,0
64,15360,55747,418,31,1
24,78475,72424,337,19,1
61,98894,28769,463,12,0
25,140807,82011,737,36,0
64,149536,5938,635,36,0
52,164682,15660,324,34,1
31,45607,75815,328,38,0
34,151116,8554,326,10,1
53,184772,86460,813,4,0
57,156988,71813,820,8,0
21,100825,30595,711,5,0
19,84311,28735,702,29,0
23,60347,22223,807,28,0
59,146889,44297,570,22,0
21,148218,23674,557,25,0
46,105292,70455,373,21,0
35,169552,67991,778,20,0
43,47146,72491,320,5,1
61,134157,41187,618,22,0
51,178683,11736,498,21,0
27,39234,53893,817,17,0
53,151030,95237,620,38,0
31,70417,77910,662,17,0
48,162897,82201,430,29,0
32,72036,74374,509,32,1
25,123788,54409,314,5,0
31,74006,62897,678,18,0
40,137346,58854,697,11,0
57,73214,96857,848,36,1
38,42450,65943,801,17,0
33,91227,60465,572,13,0
62,78211,77356,414,11,0
35,34596,85232,571,3,0
64,74000,99756,584,36,0
41,145568,17998,515,6,0
43,48857,67925,319,32,1
42,146380,65821,448,37,0
62,171240,21753,671,33,0
58,174491,55014,682,9,0
46,85029,25204,410,13,0
32,27756,86609,694,13,1
62,175360,58421,610,11,0
18,144415,67759,336,8,1
42,158456,6333,693,6,0
24,185924,70955,572,15,0
26,161267,37374,657,4,0
41,101210,95408,451,38,0
18,136789,99198,749,27,0
61,49125,68205,589,39,0
25,15082,44777,523,39,1
41,88978,97994,387,6,0
28,118715,71326,540,34,0
34,66539,45106,521,31,0
25,98328,95428,761,13,0
52,193875,24164,613,16,0
52,73825,21064,423,20,1
50,96036,69532,681,31,0
22,75555,46103,555,0,0
59,142075,10869,555,1,0
56,182568,71365,392,34,1
58,20294,73210,799,28,1
45,59852,74000,797,26,0
24,80858,56958,383,37,0
26,30836,57801,499,27,1
25,181900,19697,515,25,0
29,145093,8394,747,6,0
51,195050,14486,303,19,1
50,100620,35475,821,36,0
40,184475,30106,505,33,0
41,83920,13717,373,31,0
54,155525,96278,778,16,0
52,171453,82066,773,15,0
61,123537,89030,768,1,0
57,199449,28338,377,18,0
39,18664,99402,338,30,1
44,181936,73266,497,39,0
52,159943,31240,699,23,0
18,88101,50050,623,26,0
52,85195,43019,437,24,1
54,172001,46812,660,3,0
64,129836,76507,824,31,0
31,151802,66513,598,9,0
20,104083,99417,416,21,1
18,172431,90556,823,17,0
22,70414,70954,422,28,0
43,135241,5408,779,19,0
31,91003,65338,637,10,0
56,106936,52281,545,32,0
44,110385,29076,602,16,0
26,97078,11434,675,36,0
32,44234,81726,658,24,0
32,15547,31769,648,4,0
43,66417,64431,427,11,0
59,155018,82421,751,17,0
30,67943,55519,541,16,0
49,26020,95713,677,27,0
56,150389,57032,358,18,0
49,146595,30952,336,32,0
21,106622,26515,783,16,0
47,70076,33039,407,13,1
54,95195,56146,410,34,0
40,154881,84949,823,8,0
56,161607,22681,700,23,0
62,96834,61555,790,9,0
32,65012,6127,538,32,1
60,135872,90568,771,26,0
46,63951,29276,460,34,0
53,104412,64785,695,6,0
30,168336,57260,461,17,1
49,94114,66724,494,24,0
24,104821,64053,712,6,0
39,76832,95839,432,23,1
45,42476,29441,849,18,0
19,66973,63897,832,35,0
59,68017,88871,358,9,0
